period_end,fund_code,fund_name,category,category_label,holder_shares,holder_shares_100m,holder_ratio_pct,precision_status,total_shares,report_send_date,official_upload_date,instance_id,source_kind,holder_table_page,official_pdf_url,crosscheck_url
2014-06-30,510300,华泰柏瑞沪深300ETF,individual,个人,985213415,9.852134,12.182700,exact,8086987690,2014-08-25,2014-08-25,manager_official_pdf-510300-2014-06-30,manager_official_pdf,49,https://www.huatai-pb.com/data/20140825093813300.pdf,https://www.huatai-pb.com/news/information/fundReport/index.html
2014-06-30,510310,易方达沪深300ETF,national_team,国家队（已识别）,,,,not_identified,5120307415,2014-08-27,2014-08-27,manager_official_pdf-510310-2014-06-30,manager_official_pdf,44,https://cdn.efunds.com.cn/owch/data/2014/08/20140826201138_0_36.pdf,https://www.efunds.com.cn/c/163/163519.shtml
2014-06-30,510310,易方达沪深300ETF,other_institution,其他机构（含保险）,111377569,1.113776,2.175213,includes_unidentified_national_team,5120307415,2014-08-27,2014-08-27,manager_official_pdf-510310-2014-06-30,manager_official_pdf,44,https://cdn.efunds.com.cn/owch/data/2014/08/20140826201138_0_36.pdf,https://www.efunds.com.cn/c/163/163519.shtml
2014-06-30,510310,易方达沪深300ETF,individual,个人,49031574,0.490316,0.957590,exact,5120307415,2014-08-27,2014-08-27,manager_official_pdf-510310-2014-06-30,manager_official_pdf,44,https://cdn.efunds.com.cn/owch/data/2014/08/20140826201138_0_36.pdf,https://www.efunds.com.cn/c/163/163519.shtml
2014-06-30,510330,华夏沪深300ETF,national_team,国家队（已识别）,1956681259,19.566813,21.968768,lower_bound,8906649828,2014-08-25,2014-08-25,public_report_mirror-510330-2014-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201408240006760668_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201408240006760668.html"
2014-06-30,510330,华夏沪深300ETF,other_institution,其他机构（含保险）,215218500,2.152185,2.416380,upper_bound,8906649828,2014-08-25,2014-08-25,public_report_mirror-510330-2014-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201408240006760668_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201408240006760668.html"
2014-06-30,510330,华夏沪深300ETF,individual,个人,43369296,0.433693,0.486932,exact,8906649828,2014-08-25,2014-08-25,public_report_mirror-510330-2014-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201408240006760668_1.pdf,"https://fund.eastmoney.com/gonggao/510330,AN201408240006760668.html"
2014-06-30,159919,嘉实沪深300ETF,national_team,国家队（已识别）,,,,not_identified,11845906477,2014-08-25,2014-08-25,public_report_mirror-159919-2014-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201408250006764882_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=74692b4a67504f6f4b35593d
2014-06-30,159919,嘉实沪深300ETF,other_institution,其他机构（含保险）,1843699464,18.436995,15.564022,includes_unidentified_national_team,11845906477,2014-08-25,2014-08-25,public_report_mirror-159919-2014-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201408250006764882_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=74692b4a67504f6f4b35593d
2014-06-30,159919,嘉实沪深300ETF,individual,个人,882154484,8.821545,7.446914,exact,11845906477,2014-08-25,2014-08-25,public_report_mirror-159919-2014-06-30,public_report_mirror,45,https://pdf.dfcfw.com/pdf/H2_AN201408250006764882_1.pdf,https://www.jsfund.cn/main/fund/noticedetails.shtml?adId=74692b4a67504f6f4b35593d
