date,code,shares_100m,exchange,source
2016-10-12,510300,58.558877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-12,510310,27.023074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-12,510330,46.352498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-13,159919,47.584064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-13,510300,58.324877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-13,510310,27.023074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-13,510330,46.343498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-14,159919,47.575064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-14,510300,57.982877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-14,510310,26.983074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-14,510330,46.343498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-17,159919,47.566064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-17,510300,58.018877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-17,510310,26.963074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-17,510330,46.343498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-18,159919,47.566064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-18,510300,57.766877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-18,510310,26.943074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-18,510330,46.325498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-19,159919,47.557064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-19,510300,57.586877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-19,510310,26.923074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-19,510330,46.271498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-20,159919,47.449064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-20,510300,57.325877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-20,510310,26.863074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-20,510330,46.226498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-21,159919,47.422064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-21,510300,56.731877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-21,510310,26.863074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-21,510330,46.217498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-24,159919,47.404064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-24,510300,57.082877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-24,510310,26.823074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-24,510330,46.217498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-25,159919,47.341064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-25,510300,56.668877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-25,510310,26.783074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-25,510330,46.217498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-26,159919,47.287064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-26,510300,56.506877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-26,510310,26.763074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-26,510330,46.217498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-27,159919,47.278064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-27,510300,56.551877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-27,510310,26.743074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-27,510330,46.217498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-28,159919,47.260064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-28,510300,56.884877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-28,510310,26.703074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-28,510330,46.217498,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-31,159919,47.260064,深交所,https://www.szse.cn/api/report/ShowReport/data
2016-10-31,510300,56.920877,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-31,510310,26.703074,上交所,https://query.sse.com.cn/commonQuery.do
2016-10-31,510330,46.109498,上交所,https://query.sse.com.cn/commonQuery.do
2016-11-01,159919,47.260064,深交所,https://www.szse.cn/api/report/ShowReport/data
